Version,Cell ID,Map Name,Scale,Date On Map,Datum,Projection,Cell Name,N Lat,W Long,S Lat,E Long,View FGDC Metadata XML,GDA Item ID,Create Date,Grid Size,Download Product S3,NRN,NSN
Current,343144,Baird Inlet A-3 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-3 NW,60.25,-163.125,60.125,-162.9375,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-3_NW_20200624_TM_geo.xml,15179883,06/26/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-3_NW_20200624_TM_geo.pdf,USGSX25K343144,7643016341080
Current,343131,Baird Inlet A-3 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-3 SW,60.125,-163.125,60,-162.9375,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-3_SW_20200624_TM_geo.xml,15179885,06/26/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-3_SW_20200624_TM_geo.pdf,USGSX25K343131,7643016341083
Current,343145,Baird Inlet A-4 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-4 NE,60.25,-163.3125,60.125,-163.125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-4_NE_20200619_TM_geo.xml,15155977,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-4_NE_20200619_TM_geo.pdf,USGSX25K343145,7643016341086
Current,343146,Baird Inlet A-4 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-4 NW,60.25,-163.5,60.125,-163.3125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-4_NW_20200620_TM_geo.xml,15155979,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-4_NW_20200620_TM_geo.pdf,USGSX25K343146,7643016341088
Current,343132,Baird Inlet A-4 SE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-4 SE,60.125,-163.3125,60,-163.125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-4_SE_20200619_TM_geo.xml,15155981,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-4_SE_20200619_TM_geo.pdf,USGSX25K343132,7643016341090
Current,343133,Baird Inlet A-4 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-4 SW,60.125,-163.5,60,-163.3125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-4_SW_20200622_TM_geo.xml,15155983,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-4_SW_20200622_TM_geo.pdf,USGSX25K343133,7643016341089
Current,343147,Baird Inlet A-5 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-5 NE,60.25,-163.6875,60.125,-163.5,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-5_NE_20200620_TM_geo.xml,15155985,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-5_NE_20200620_TM_geo.pdf,USGSX25K343147,7643016341091
Current,343148,Baird Inlet A-5 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-5 NW,60.25,-163.875,60.125,-163.6875,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-5_NW_20200721_TM_geo.xml,15396184,07/22/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-5_NW_20200721_TM_geo.pdf,USGSX25K343148,7643016341092
Current,343134,Baird Inlet A-5 SE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-5 SE,60.125,-163.6875,60,-163.5,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-5_SE_20200620_TM_geo.xml,15155987,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-5_SE_20200620_TM_geo.pdf,USGSX25K343134,7643016341093
Current,343135,Baird Inlet A-5 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-5 SW,60.125,-163.875,60,-163.6875,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-5_SW_20200721_TM_geo.xml,15396186,07/22/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-5_SW_20200721_TM_geo.pdf,USGSX25K343135,7643016341095
Current,343149,Baird Inlet A-6 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-6 NE,60.25,-164.0625,60.125,-163.875,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-6_NE_20200721_TM_geo.xml,15396188,07/22/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-6_NE_20200721_TM_geo.pdf,USGSX25K343149,7643016341094
Current,343150,Baird Inlet A-6 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-6 NW,60.25,-164.25,60.125,-164.0625,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-6_NW_20200721_TM_geo.xml,15430634,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-6_NW_20200721_TM_geo.pdf,USGSX25K343150,7643016341096
Current,343136,Baird Inlet A-6 SE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-6 SE,60.125,-164.0625,60,-163.875,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-6_SE_20200721_TM_geo.xml,15396190,07/22/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-6_SE_20200721_TM_geo.pdf,USGSX25K343136,7643016341098
Current,343137,Baird Inlet A-6 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-6 SW,60.125,-164.25,60,-164.0625,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-6_SW_20200721_TM_geo.xml,15430636,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-6_SW_20200721_TM_geo.pdf,USGSX25K343137,7643016341101
Current,343151,Baird Inlet A-7 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-7 NE,60.25,-164.4375,60.125,-164.25,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-7_NE_20200722_TM_geo.xml,15430638,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-7_NE_20200722_TM_geo.pdf,USGSX25K343151,7643016341097
Current,343152,Baird Inlet A-7 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-7 NW,60.25,-164.625,60.125,-164.4375,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-7_NW_20200721_TM_geo.xml,15430640,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-7_NW_20200721_TM_geo.pdf,USGSX25K343152,7643016341099
Current,343153,Baird Inlet A-7 OE W NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-7 OE W NE,60.25,-164.8125,60.125,-164.625,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-7_OE_W_NE_20200721_TM_geo.xml,15430642,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-7_OE_W_NE_20200721_TM_geo.pdf,USGSX25K343153,7643016341103
Current,343138,Baird Inlet A-7 SE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet A-7 SE,60.125,-164.4375,60,-164.25,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_A-7_SE_20200721_TM_geo.xml,15430644,07/27/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_A-7_SE_20200721_TM_geo.pdf,USGSX25K343138,7643016341105
Current,343175,Baird Inlet B-3 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-3 NW,60.5,-163.125,60.375,-162.9375,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-3_NW_20200624_TM_geo.xml,15179887,06/26/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-3_NW_20200624_TM_geo.pdf,USGSX25K343175,7643016341113
Current,343159,Baird Inlet B-3 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-3 SW,60.375,-163.125,60.25,-162.9375,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-3_SW_20200624_TM_geo.xml,15179889,06/26/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-3_SW_20200624_TM_geo.pdf,USGSX25K343159,7643016341112
Current,343176,Baird Inlet B-4 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-4 NE,60.5,-163.3125,60.375,-163.125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-4_NE_20200619_TM_geo.xml,15155989,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-4_NE_20200619_TM_geo.pdf,USGSX25K343176,7643016341114
Current,343177,Baird Inlet B-4 NW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-4 NW,60.5,-163.5,60.375,-163.3125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-4_NW_20200619_TM_geo.xml,15155991,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-4_NW_20200619_TM_geo.pdf,USGSX25K343177,7643016341116
Current,343160,Baird Inlet B-4 SE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-4 SE,60.375,-163.3125,60.25,-163.125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-4_SE_20200619_TM_geo.xml,15155993,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-4_SE_20200619_TM_geo.pdf,USGSX25K343160,7643016341117
Current,343161,Baird Inlet B-4 SW,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-4 SW,60.375,-163.5,60.25,-163.3125,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-4_SW_20200620_TM_geo.xml,15155995,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-4_SW_20200620_TM_geo.pdf,USGSX25K343161,7643016341119
Current,343178,Baird Inlet B-5 NE,25000,2020,North American Datum of 1983,Transverse Mercator,Baird Inlet B-5 NE,60.5,-163.6875,60.375,-163.5,https://thor-f5.er.usgs.gov/ngtoc/metadata/ustopo/AK/AK_Baird_Inlet_B-5_NE_20200620_TM_geo.xml,15155997,06/23/2020,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/USTopo/PDF/AK/AK_Baird_Inlet_B-5_NE_20200620_TM_geo.pdf,USGSX25K343178,7643016341122
