Series,Version,Cell ID,Map Name,Primary State,Scale,Date On Map,Imprint Year,Woodland Tint,Visual Version Number,Photo Inspection Year,Photo Revision Year,Aerial Photo Year,Edit Year,Field Check Year,Survey Year,Datum,Projection,Advance,Preliminary,Provisional,Interim,Planimetric,Special Printing,Special Map,Shaded Relief,Orthophoto,Pub USGS,Pub Army Corps Eng,Pub Army Map,Pub Forest Serv,Pub Military Other,Pub Reclamation,Pub War Dept,Pub Bur Land Mgmt,Pub Natl Park Serv,Pub Indian Affairs,Pub EPA,Pub Tenn Valley Auth,Pub US Commerce,Keywords,Map Language,Scanner Resolution,Cell Name,Primary State Name,N Lat,W Long,S Lat,E Long,Link to HTMC Metadata,Download GeoPDF,View FGDC Metadata XML,View Thumbnail Image,Scan ID,GDA Item ID,Create Date,Byte Count,Grid Size,Download Product S3,View Thumbnail Image S3,NRN,NSN,Map Folder,Raster Name,AWS URL,PDS Path
HTMC,Historical,68636,Adak,AK,250000,1983,1984,N,1,,,,1983,,1956,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660290,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_360515_1983_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_360515_1983_250000_tn.jpg,360515,5660290,08/14/2012,31504595,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360515_1983_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360515_1983_250000_tn.jpg,,,,AK_Adak_360515_1983_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_360515_1983_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_360515_1983_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1967,,N,,,,,,,1956,NAD27,Transverse Mercator,N,N,N,N,N,N,N,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=9124626,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_463455_1967_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_463455_1967_250000_tn.jpg,463455,9124626,06/27/2017,20013822,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_463455_1967_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_463455_1967_250000_tn.jpg,,,,AK_Adak_463455_1967_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_463455_1967_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_463455_1967_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1957,1977,N,,,,,,,1956,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=9124628,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_463456_1957_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_463456_1957_250000_tn.jpg,463456,9124628,06/27/2017,14157155,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_463456_1957_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_463456_1957_250000_tn.jpg,,,,AK_Adak_463456_1957_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_463456_1957_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_463456_1957_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1957,1968,N,,,,,,,1956,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660288,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_360513_1957_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_360513_1957_250000_tn.jpg,360513,5660288,08/14/2012,15774698,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360513_1957_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360513_1957_250000_tn.jpg,,,,AK_Adak_360513_1957_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_360513_1957_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_360513_1957_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1954,,N,,,,,,,1946,NAD27,Transverse Mercator,N,N,N,N,N,N,N,Y,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,English,508,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660292,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_707915_1954_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_707915_1954_250000_tn.jpg,707915,5660292,08/14/2012,24046159,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_707915_1954_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_707915_1954_250000_tn.jpg,,,,AK_Adak_707915_1954_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_707915_1954_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_707915_1954_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1951,1962,N,,,,,,,1946,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,Y,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660286,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_360512_1951_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_360512_1951_250000_tn.jpg,360512,5660286,08/14/2012,15493676,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360512_1951_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360512_1951_250000_tn.jpg,,,,AK_Adak_360512_1951_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_360512_1951_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_360512_1951_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1951,1953,N,,,,,,,1946,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,Y,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660282,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_360510_1951_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_360510_1951_250000_tn.jpg,360510,5660282,08/14/2012,14420899,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360510_1951_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360510_1951_250000_tn.jpg,,,,AK_Adak_360510_1951_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_360510_1951_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_360510_1951_250000_geo.tif
HTMC,Historical,68636,Adak,AK,250000,1951,1953,N,1,,,,,,1946,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Adak,Alaska,52.25,-178,51.25,-176,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660284,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Adak_360511_1951_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Adak_360511_1951_250000_tn.jpg,360511,5660284,08/14/2012,13465883,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360511_1951_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Adak_360511_1951_250000_tn.jpg,,,,AK_Adak_360511_1951_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Adak_360511_1951_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Adak_360511_1951_250000_geo.tif
HTMC,Historical,75051,Afognak,AK,250000,1952,1988,Y,,,,1978,1982,,1952,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Afognak,Alaska,59,-154,58,-151.5,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660294,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Afognak_360516_1952_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Afognak_360516_1952_250000_tn.jpg,360516,5660294,08/14/2012,32692718,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Afognak_360516_1952_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Afognak_360516_1952_250000_tn.jpg,,,,AK_Afognak_360516_1952_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Afognak_360516_1952_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Afognak_360516_1952_250000_geo.tif
HTMC,Historical,75051,Afognak,AK,250000,1952,1982,Y,,,,1978,1982,,1952,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,600,Afognak,Alaska,59,-154,58,-151.5,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5660312,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/250000/AK_Afognak_360525_1952_250000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/250000/AK_Afognak_360525_1952_250000_tn.jpg,360525,5660312,08/14/2012,47532372,1 X 2 Degree,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Afognak_360525_1952_250000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/250000/AK_Afognak_360525_1952_250000_tn.jpg,,,,AK_Afognak_360525_1952_250000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Afognak_360525_1952_250000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QM\AK_Afognak_360525_1952_250000_geo.tif
