Series,Version,Cell ID,Map Name,Primary State,Scale,Date On Map,Imprint Year,Woodland Tint,Visual Version Number,Photo Inspection Year,Photo Revision Year,Aerial Photo Year,Edit Year,Field Check Year,Survey Year,Datum,Projection,Advance,Preliminary,Provisional,Interim,Planimetric,Special Printing,Special Map,Shaded Relief,Orthophoto,Pub USGS,Pub Army Corps Eng,Pub Army Map,Pub Forest Serv,Pub Military Other,Pub Reclamation,Pub War Dept,Pub Bur Land Mgmt,Pub Natl Park Serv,Pub Indian Affairs,Pub EPA,Pub Tenn Valley Auth,Pub US Commerce,Keywords,Map Language,Scanner Resolution,Cell Name,Primary State Name,N Lat,W Long,S Lat,E Long,Link to HTMC Metadata,Download GeoPDF,View FGDC Metadata XML,View Thumbnail Image,Scan ID,GDA Item ID,Create Date,Byte Count,Grid Size,Download Product S3,View Thumbnail Image S3,NRN,NSN,Map Folder,Raster Name,AWS URL,PDS Path
HTMC,Historical,3048,Beechey Point A-2 NE,AK,24000,1970,1971,N,1,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-2 NE,Alaska,70.25,-147.9,70.125,-147.6,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681951,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-2%20NE_353543_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-2%20NE_353543_1970_24000_tn.jpg,353543,5681951,09/11/2012,54755965,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NE_353543_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NE_353543_1970_24000_tn.jpg,,,,AK_Beechey Point A-2 NE_353543_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-2%20NE_353543_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-2 NE_353543_1970_24000_geo.tif
HTMC,Historical,3048,Beechey Point A-2 NE,AK,24000,1970,1971,N,2,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-2 NE,Alaska,70.25,-147.9,70.125,-147.6,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681953,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-2%20NE_353544_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-2%20NE_353544_1970_24000_tn.jpg,353544,5681953,09/11/2012,60686572,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NE_353544_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NE_353544_1970_24000_tn.jpg,,,,AK_Beechey Point A-2 NE_353544_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-2%20NE_353544_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-2 NE_353544_1970_24000_geo.tif
HTMC,Historical,3049,Beechey Point A-2 NW,AK,24000,1970,1974,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-2 NW,Alaska,70.25,-148.2,70.125,-147.9,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681957,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-2%20NW_353546_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-2%20NW_353546_1970_24000_tn.jpg,353546,5681957,09/11/2012,63168402,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NW_353546_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NW_353546_1970_24000_tn.jpg,,,,AK_Beechey Point A-2 NW_353546_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-2%20NW_353546_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-2 NW_353546_1970_24000_geo.tif
HTMC,Historical,3049,Beechey Point A-2 NW,AK,24000,1970,1971,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-2 NW,Alaska,70.25,-148.2,70.125,-147.9,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681955,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-2%20NW_353545_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-2%20NW_353545_1970_24000_tn.jpg,353545,5681955,09/11/2012,58224305,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NW_353545_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-2%20NW_353545_1970_24000_tn.jpg,,,,AK_Beechey Point A-2 NW_353545_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-2%20NW_353545_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-2 NW_353545_1970_24000_geo.tif
HTMC,Historical,3050,Beechey Point A-3 NE,AK,24000,1970,1973,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-3 NE,Alaska,70.25,-148.5,70.125,-148.2,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681961,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-3%20NE_353548_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-3%20NE_353548_1970_24000_tn.jpg,353548,5681961,09/11/2012,58231001,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NE_353548_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NE_353548_1970_24000_tn.jpg,,,,AK_Beechey Point A-3 NE_353548_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-3%20NE_353548_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-3 NE_353548_1970_24000_geo.tif
HTMC,Historical,3050,Beechey Point A-3 NE,AK,24000,1970,1971,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-3 NE,Alaska,70.25,-148.5,70.125,-148.2,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681959,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-3%20NE_353547_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-3%20NE_353547_1970_24000_tn.jpg,353547,5681959,09/11/2012,55293384,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NE_353547_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NE_353547_1970_24000_tn.jpg,,,,AK_Beechey Point A-3 NE_353547_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-3%20NE_353547_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-3 NE_353547_1970_24000_geo.tif
HTMC,Historical,69300,Beechey Point A-3 NW,AK,24000,1970,1973,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-3 NW,Alaska,70.25,-148.8,70.125,-148.5,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681965,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-3%20NW_353550_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-3%20NW_353550_1970_24000_tn.jpg,353550,5681965,09/11/2012,54454207,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NW_353550_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NW_353550_1970_24000_tn.jpg,,,,AK_Beechey Point A-3 NW_353550_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-3%20NW_353550_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-3 NW_353550_1970_24000_geo.tif
HTMC,Historical,69300,Beechey Point A-3 NW,AK,24000,1970,1971,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-3 NW,Alaska,70.25,-148.8,70.125,-148.5,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681963,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-3%20NW_353549_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-3%20NW_353549_1970_24000_tn.jpg,353549,5681963,09/11/2012,50562355,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NW_353549_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-3%20NW_353549_1970_24000_tn.jpg,,,,AK_Beechey Point A-3 NW_353549_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-3%20NW_353549_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-3 NW_353549_1970_24000_geo.tif
HTMC,Historical,3051,Beechey Point A-4 NE,AK,24000,1970,1974,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-4 NE,Alaska,70.25,-149.1,70.125,-148.8,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681969,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-4%20NE_353552_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-4%20NE_353552_1970_24000_tn.jpg,353552,5681969,09/11/2012,62702072,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-4%20NE_353552_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-4%20NE_353552_1970_24000_tn.jpg,,,,AK_Beechey Point A-4 NE_353552_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-4%20NE_353552_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-4 NE_353552_1970_24000_geo.tif
HTMC,Historical,3051,Beechey Point A-4 NE,AK,24000,1970,1971,N,,,,1970,,,1955,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,Map,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,English,600,Beechey Point A-4 NE,Alaska,70.25,-149.1,70.125,-148.8,n/a,https://ims.er.usgs.gov/gda_services/download?item_id=5681967,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/AK/24000/AK_Beechey%20Point%20A-4%20NE_353551_1970_24000_geo.xml,https://thor-f5.er.usgs.gov/ngtoc/metadata/htmc/thumbnails/AK/24000/AK_Beechey%20Point%20A-4%20NE_353551_1970_24000_tn.jpg,353551,5681967,09/11/2012,54425775,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-4%20NE_353551_1970_24000_geo.pdf,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/PDF/AK/24000/AK_Beechey%20Point%20A-4%20NE_353551_1970_24000_tn.jpg,,,,AK_Beechey Point A-4 NE_353551_1970_24000_geo,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/AK/AK_Beechey%20Point%20A-4%20NE_353551_1970_24000_geo.tif,X:\Extras\AKR\Statewide\Charts\USGS_Topo\Historic_QQ\AK_Beechey Point A-4 NE_353551_1970_24000_geo.tif
