name,sn,date,scale,revision,printed,folder,file,raster,cell_name,best_topo,WGS84,count,dups,priority,Barcode,Notes
Cordova A-3,355131,1988,63360,,,Cordova,AK_Cordova A-3_355131_1988_63360_geo.tif,AK_Cordova A-3_355131_1988_63360_geo,Cordova A-3,1,0,1,,1,,
Cordova A-4,355132,1988,63360,,,Cordova,AK_Cordova A-4_355132_1988_63360_geo.tif,AK_Cordova A-4_355132_1988_63360_geo,Cordova A-4,1,0,1,,1,,
Cordova A-7 and A-8,355133,1988,63360,,,Cordova,AK_Cordova A-7 and A-8_355133_1988_63360_geo.tif,AK_Cordova A-7 and A-8_355133_1988_63360_geo,Cordova A-7 and A-8,0,0,5,,5,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova A-7 and A-8,355134,1951,63360,,,Cordova,AK_Cordova A-7 and A-8_355134_1951_63360_geo.tif,AK_Cordova A-7 and A-8_355134_1951_63360_geo,Cordova A-7 and A-8,0,0,5,,4,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova A-7 and A-8,355135,1951,63360,,,Cordova,AK_Cordova A-7 and A-8_355135_1951_63360_geo.tif,AK_Cordova A-7 and A-8_355135_1951_63360_geo,Cordova A-7 and A-8,0,0,5,,3,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova A-7 and A-8,355136,1953,63360,,,Cordova,AK_Cordova A-7 and A-8_355136_1953_63360_geo.tif,AK_Cordova A-7 and A-8_355136_1953_63360_geo,Cordova A-7 and A-8,0,0,5,,2,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova A-7 and A-8,463637,1953,63360,,,Cordova,AK_Cordova A-7 and A-8_463637_1953_63360_geo.tif,AK_Cordova A-7 and A-8_463637_1953_63360_geo,Cordova A-7 and A-8,1,0,5,,1,,
Cordova B-1,355137,1951,63360,,,Cordova,AK_Cordova B-1_355137_1951_63360_geo.tif,AK_Cordova B-1_355137_1951_63360_geo,Cordova B-1,0,0,6,,6,,
Cordova B-1,355138,1951,63360,,,Cordova,AK_Cordova B-1_355138_1951_63360_geo.tif,AK_Cordova B-1_355138_1951_63360_geo,Cordova B-1,0,0,6,,5,,
Cordova B-1,355139,1953,63360,,,Cordova,AK_Cordova B-1_355139_1953_63360_geo.tif,AK_Cordova B-1_355139_1953_63360_geo,Cordova B-1,0,0,6,,4,,
Cordova B-1,355140,1951,63360,,,Cordova,AK_Cordova B-1_355140_1951_63360_geo.tif,AK_Cordova B-1_355140_1951_63360_geo,Cordova B-1,0,0,6,,3,,
Cordova B-1,463638,1997,63360,,,Cordova,AK_Cordova B-1_463638_1997_63360_geo.tif,AK_Cordova B-1_463638_1997_63360_geo,Cordova B-1,0,0,6,,2,,
Cordova B-1,463639,1953,63360,,,Cordova,AK_Cordova B-1_463639_1953_63360_geo.tif,AK_Cordova B-1_463639_1953_63360_geo,Cordova B-1,1,0,6,,1,,
Cordova B-2,355141,1950,63360,,,Cordova,AK_Cordova B-2_355141_1950_63360_geo.tif,AK_Cordova B-2_355141_1950_63360_geo,Cordova B-2,0,0,7,,7,,
Cordova B-2,355142,1950,63360,,,Cordova,AK_Cordova B-2_355142_1950_63360_geo.tif,AK_Cordova B-2_355142_1950_63360_geo,Cordova B-2,0,0,7,,6,,
Cordova B-2,355143,1950,63360,,,Cordova,AK_Cordova B-2_355143_1950_63360_geo.tif,AK_Cordova B-2_355143_1950_63360_geo,Cordova B-2,0,0,7,,5,,
Cordova B-2,355144,1950,63360,,,Cordova,AK_Cordova B-2_355144_1950_63360_geo.tif,AK_Cordova B-2_355144_1950_63360_geo,Cordova B-2,0,0,7,,4,,
Cordova B-2,355145,1997,63360,,,Cordova,AK_Cordova B-2_355145_1997_63360_geo.tif,AK_Cordova B-2_355145_1997_63360_geo,Cordova B-2,0,0,7,,3,,
Cordova B-2,355149,1953,63360,,,Cordova,AK_Cordova B-2_355149_1953_63360_geo.tif,AK_Cordova B-2_355149_1953_63360_geo,Cordova B-2,0,0,7,,2,,
Cordova B-2,463640,1953,63360,,,Cordova,AK_Cordova B-2_463640_1953_63360_geo.tif,AK_Cordova B-2_463640_1953_63360_geo,Cordova B-2,1,0,7,,1,,
Cordova B-3,355146,1952,63360,,,Cordova,AK_Cordova B-3_355146_1952_63360_geo.tif,AK_Cordova B-3_355146_1952_63360_geo,Cordova B-3,0,0,5,,5,,
Cordova B-3,355147,1952,63360,,,Cordova,AK_Cordova B-3_355147_1952_63360_geo.tif,AK_Cordova B-3_355147_1952_63360_geo,Cordova B-3,0,0,5,,4,,
Cordova B-3,355148,1953,63360,,,Cordova,AK_Cordova B-3_355148_1953_63360_geo.tif,AK_Cordova B-3_355148_1953_63360_geo,Cordova B-3,0,0,5,,3,,
Cordova B-3,355150,1952,63360,,,Cordova,AK_Cordova B-3_355150_1952_63360_geo.tif,AK_Cordova B-3_355150_1952_63360_geo,Cordova B-3,0,0,5,,2,,
Cordova B-3,463641,1953,63360,,,Cordova,AK_Cordova B-3_463641_1953_63360_geo.tif,AK_Cordova B-3_463641_1953_63360_geo,Cordova B-3,1,0,5,,1,,
Cordova B-4,355151,1951,63360,,,Cordova,AK_Cordova B-4_355151_1951_63360_geo.tif,AK_Cordova B-4_355151_1951_63360_geo,Cordova B-4,0,0,5,,5,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova B-4,355152,1951,63360,,,Cordova,AK_Cordova B-4_355152_1951_63360_geo.tif,AK_Cordova B-4_355152_1951_63360_geo,Cordova B-4,0,0,5,,4,,1) Georeferencing of source is slightly off; corrected with aux.xml file
Cordova B-4,355153,1951,63360,,,Cordova,AK_Cordova B-4_355153_1951_63360_geo.tif,AK_Cordova B-4_355153_1951_63360_geo,Cordova B-4,0,0,5,,3,,
