name,sn,scale,date,rev,printed,Recon,series,Shaded_Relief,Best_topo,best_sr,best_mil,best_bath,Color,file,raster,Cell_name,dups,Notes
Adak,360510,250000,1951,,1953,1,Topographic,1,0,0,0,0,,AK_Adak_360510_1951_250000_geo.tif,AK_Adak_360510_1951_250000_geo,Adak,,
Adak,360511,250000,1951,,1953,1,Topographic,0,0,0,0,0,sepia,AK_Adak_360511_1951_250000_geo.tif,AK_Adak_360511_1951_250000_geo,Adak,,
Adak,707915,250000,1954,,1954,0,Q501-1 - Army COE,1,0,0,0,0,sepia,AK_Adak_707915_1954_250000_geo.tif,AK_Adak_707915_1954_250000_geo,Adak,,
Adak,360512,250000,1951,,1962,1,Topographic,1,0,1,0,0,,AK_Adak_360512_1951_250000_geo.tif,AK_Adak_360512_1951_250000_geo,Adak,,
Adak,463455,250000,1967,,1967,0,Q501-2 - Army COE,0,0,0,1,0,,AK_Adak_463455_1967_250000_geo.tif,AK_Adak_463455_1967_250000_geo,Adak,,
Adak,360513,250000,1957,,1968,0,Topographic,0,0,0,0,0,,AK_Adak_360513_1957_250000_geo.tif,AK_Adak_360513_1957_250000_geo,Adak,,
Adak,463456,250000,1957,,1977,0,Topographic,0,0,0,0,0,,AK_Adak_463456_1957_250000_geo.tif,AK_Adak_463456_1957_250000_geo,Adak,,
Adak,360515,250000,1957,1983,1984,0,Topographic,0,1,0,0,0,,AK_Adak_360515_1983_250000_geo.tif,AK_Adak_360515_1983_250000_geo,Adak,,1) Date in filename is wrong
Afognak,360520,250000,1952,,1953,1,Topographic,0,0,0,0,0,sepia,AK_Afognak_360520_1952_250000_geo.tif,AK_Afognak_360520_1952_250000_geo,Afognak,,
Afognak,360518,250000,1952,,1957,0,Topographic,1,0,0,0,0,,AK_Afognak_360518_1952_250000_geo.tif,AK_Afognak_360518_1952_250000_geo,Afognak,,
Afognak,360519,250000,1952,,1957,0,Topographic,0,0,0,0,0,bright green,AK_Afognak_360519_1952_250000_geo.tif,AK_Afognak_360519_1952_250000_geo,Afognak,,
Afognak,360517,250000,1952,,1965,0,Topographic,1,0,0,0,0,,AK_Afognak_360517_1952_250000_geo.tif,AK_Afognak_360517_1952_250000_geo,Afognak,,
Afognak,360521,250000,1952,,1965,0,Topographic,0,0,0,0,0,bright green,AK_Afognak_360521_1952_250000_geo.tif,AK_Afognak_360521_1952_250000_geo,Afognak,,
Afognak,360522,250000,1952,1970,1971,0,Topographic,0,0,0,0,0,,AK_Afognak_360522_1952_250000_geo.tif,AK_Afognak_360522_1952_250000_geo,Afognak,,
Afognak,360523,250000,1952,1975,1976,0,Topographic,1,0,1,0,0,,AK_Afognak_360523_1952_250000_geo.tif,AK_Afognak_360523_1952_250000_geo,Afognak,,
